horodatage,type,nom_fichier,nb_lignes
2025-06-15 05:47:10,vente,ajout manuel,1
2025-06-15 05:47:59,vente,ajout manuel,1
2025-06-15 14:50:19,vente,ajout manuel,1
2025-07-01 02:58:49,vente,ajout manuel,1
2025-07-01 03:02:54,vente,ajout manuel,1
2025-07-01 03:03:34,vente,ajout manuel,1
2025-07-01 03:08:21,vente,ajout manuel,1
2025-07-01 03:26:12,vente,ajout manuel,1
2025-07-01 03:30:14,vente,ajout manuel,1
2025-07-01 03:34:14,vente,ajout manuel,1
2025-07-01 03:34:29,vente,ajout manuel,1
2025-07-01 03:46:27,vente,ajout manuel,1
2025-07-01 03:47:11,vente,ajout manuel,1
2025-07-01 03:47:26,vente,ajout manuel,1
2025-07-01 03:48:13,vente,ajout manuel,1
2025-07-01 03:48:14,vente,ajout manuel,1
2025-07-01 03:49:35,vente,ajout manuel,1
